season,position,points
1999,11,0
1999,12,0
1999,13,0
1999,14,0
1999,15,0
1999,16,0
1999,17,0
1999,18,0
1999,19,0
1999,20,0
1999,21,0
1999,22,0
2000,1,10
2000,2,6
2000,3,4
2000,4,3
2000,5,2
2000,6,1
2000,7,0
2000,8,0
2000,9,0
2000,10,0
2000,11,0
2000,12,0
2000,13,0
2000,14,0
2000,15,0
2000,16,0
2000,17,0
2000,18,0
2000,19,0
2000,20,0
2000,21,0
2000,22,0
2001,1,10
2001,2,6
2001,3,4
2001,4,3
2001,5,2
2001,6,1
2001,7,0
2001,8,0
2001,9,0
2001,10,0
2001,11,0
2001,12,0
2001,13,0
2001,14,0
2001,15,0
2001,16,0
2001,17,0
2001,18,0
2001,19,0
2001,20,0
2001,21,0
2001,22,0
2002,1,10
2002,2,6
2002,3,4
2002,4,3
2002,5,2
2002,6,1
2002,7,0
2002,8,0
2002,9,0
2002,10,0
2002,11,0
2002,12,0
2002,13,0
2002,14,0
2002,15,0
2002,16,0
2002,17,0
2002,18,0
2002,19,0
2002,20,0
2002,21,0
2002,22,0
2003,1,10
2003,2,8
2003,3,6
2003,4,5
2003,5,4
2003,6,3
2003,7,2
2003,8,1
2003,9,0
2003,10,0
2003,11,0
2003,12,0
2003,13,0
2003,14,0
2003,15,0
2003,16,0
2003,17,0
2003,18,0
2003,19,0
2003,20,0
2004,1,10
2004,2,8
2004,3,6
2004,4,5
2004,5,4
2004,6,3
2004,7,2
2004,8,1
2004,9,0
2004,10,0
2004,11,0
2004,12,0
2004,13,0
2004,14,0
2004,15,0
2004,16,0
2004,17,0
2004,18,0
2004,19,0
2004,20,0
2005,1,10
2005,2,8
2005,3,6
2005,4,5
2005,5,4
2005,6,3
2005,7,2
2005,8,1
2005,9,0
2005,10,0
2005,11,0
2005,12,0
2005,13,0
2005,14,0
2005,15,0
2005,16,0
2005,17,0
2005,18,0
2005,19,0
2005,20,0
2006,1,10
2006,2,8
2006,3,6
2006,4,5
2006,5,4
2006,6,3
2006,7,2
2006,8,1
2006,9,0
2006,10,0
2006,11,0
2006,12,0
2006,13,0
2006,14,0
2006,15,0
2006,16,0
2006,17,0
2006,18,0
2006,19,0
2006,20,0
2006,21,0
2006,22,0
2007,1,10
2007,2,8
2007,3,6
2007,4,5
2007,5,4
2007,6,3
2007,7,2
2007,8,1
2007,9,0
2007,10,0
2007,11,0
2007,12,0
2007,13,0
2007,14,0
2007,15,0
2007,16,0
2007,17,0
2007,18,0
2007,19,0
2007,20,0
2007,21,0
2007,22,0
2008,1,10
2008,2,8
2008,3,6
2008,4,5
2008,5,4
2008,6,3
2008,7,2
2008,8,1
2008,9,0
2008,10,0
2008,11,0
2008,12,0
2008,13,0
2008,14,0
2008,15,0
2008,16,0
2008,17,0
2008,18,0
2008,19,0
2008,20,0
2008,21,0
2008,22,0
2009,1,10
2009,2,8
2009,3,6
2009,4,5
2009,5,4
2009,6,3
2009,7,2
2009,8,1
2009,9,0
2009,10,0
2009,11,0
2009,12,0
2009,13,0
2009,14,0
2009,15,0
2009,16,0
2009,17,0
2009,18,0
2009,19,0
2009,20,0
2010,1,25
2010,2,18
2010,3,15
2010,4,12
2010,5,10
2010,6,8
2010,7,6
2010,8,4
2010,9,2
2010,10,1
2010,11,0
2010,12,0
2010,13,0
2010,14,0
2010,15,0
2010,16,0
2010,17,0
2010,18,0
2010,19,0
2010,20,0
2010,21,0
2010,22,0
2010,23,0
2010,24,0
2011,1,25
2011,2,18
2011,3,15
2011,4,12
2011,5,10
2011,6,8
2011,7,6
2011,8,4
2011,9,2
2011,10,1
2011,11,0
2011,12,0
2011,13,0
2011,14,0
2011,15,0
2011,16,0
2011,17,0
2011,18,0
2011,19,0
2011,20,0
2011,21,0
2011,22,0
2012,1,25
2012,2,18
2012,3,15
2012,4,12
2012,5,10
2012,6,8
2012,7,6
2012,8,4
2012,9,2
2012,10,1
2012,11,0
2012,12,0
2012,13,0
2012,14,0
2012,15,0
2012,16,0
2012,17,0
2012,18,0
2012,19,0
2012,20,0
2012,21,0
2012,22,0
2013,1,25
2013,2,18
2013,3,15
2013,4,12
2013,5,10
2013,6,8
2013,7,6
2013,8,4
2013,9,2
2013,10,1
2013,11,0
2013,12,0
2013,13,0
2013,14,0
2013,15,0
2013,16,0
2013,17,0
2013,18,0
2013,19,0
2013,20,0
2013,21,0
2013,22,0
2014,1,25
2014,2,18
2014,3,15
2014,4,12
2014,5,10
2014,6,8
2014,7,6
2014,8,4
2014,9,2
2014,10,1
2014,11,0
2014,12,0
2014,13,0
2014,14,0
2014,15,0
2014,16,0
2014,17,0
2014,18,0
2014,19,0
2014,20,0
2014,21,0
2014,22,0
2015,1,25
2015,2,18
2015,3,15
2015,4,12
2015,5,10
2015,6,8
2015,7,6
2015,8,4
2015,9,2
2015,10,1
2015,11,0
2015,12,0
2015,13,0
2015,14,0
2015,15,0
2015,16,0
2015,17,0
2015,18,0
2016,1,25
2016,2,18
2016,3,15
2016,4,12
2016,5,10
2016,6,8
2016,7,6
2016,8,4
2016,9,2
2016,10,1
2016,11,0
2016,12,0
2016,13,0
2016,14,0
2016,15,0
2016,16,0
2016,17,0
2016,18,0
2016,19,0
2016,20,0
2016,21,0
2016,22,0
2017,1,25
2017,2,18
2017,3,15
2017,4,12
2017,5,10
2017,6,8
2017,7,6
2017,8,4
2017,9,2
2017,10,1
2017,11,0
2017,12,0
2017,13,0
2017,14,0
2017,15,0
2017,16,0
2017,17,0
2017,18,0
2017,19,0
2017,20,0
2018,1,25
2018,2,18
2018,3,15
2018,4,12
2018,5,10
2018,6,8
2018,7,6
2018,8,4
2018,9,2
2018,10,1
2018,11,0
2018,12,0
2018,13,0
2018,14,0
2018,15,0
2018,16,0
