dID,firstName,lastName,driverTag,nationality,age
183,Lance,Stroll,STR,Canadian,27
184,Charles,Leclerc,LEC,Monegasque,28
185,Sergey,Sirotkin,SIR,Russian,30
186,Alexander,Albon,ALB,Thai,29
187,Lando,Norris,NOR,British,25
188,George,Russell,RUS,British,27
189,Jack,Aitken,AIT,British,30
190,Pietro,Fittipaldi,FIT,Brazilian,29
191,Nicholas,Latifi,LAT,Canadian,30
192,Nikita,Mazepin,MAZ,Russian,26
193,Mick,Schumacher,MSC,German,26
194,Yuki,Tsunoda,TSU,Japanese,25
195,Nyck,de Vries,DEV,Dutch,30
196,Guanyu,Zhou,ZHO,Chinese,26
197,Liam,Lawson,LAW,New Zealander,23
198,Oscar,Piastri,PIA,Australian,24
199,Logan,Sargeant,SAR,American,24
200,Andrea Kimi,Antonelli,ANT,Italian,19
201,Oliver,Bearman,BEA,British,20
202,Franco,Colapinto,COL,Argentine,22
203,Jack,Doohan,DOO,Australian,22
