dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
10,1.0,99.33,12.0,,,22
10,36.0,114.65,5.0,7027.35,,22
10,37.0,116.705,9.0,,7049.471,22
10,54.0,110.389,6.0,8696.738,,22
10,55.0,120.394,7.0,,8718.676,22
10,58.0,88.344,5.0,,,22
11,1.0,93.756,3.0,,,22
11,21.0,96.824,3.0,5635.684,,22
11,22.0,108.764,5.0,,5657.119,22
11,36.0,112.799,3.0,7001.179,,22
11,37.0,119.707,3.0,,7022.573,22
11,53.0,107.607,3.0,8529.875,,22
11,54.0,126.894,3.0,,8551.269,22
11,55.0,136.838,3.0,8793.514,,22
14,1.0,98.679,11.0,,,22
14,36.0,117.817,4.0,7026.384,,22
14,37.0,116.24,7.0,,7047.811,22
14,58.0,87.607,8.0,,,22
16,1.0,96.143,6.0,,,22
16,15.0,93.881,8.0,5108.752,,22
16,16.0,110.853,16.0,,5131.136,22
16,35.0,96.558,9.0,6924.615,,22
16,36.0,128.653,12.0,,6945.786,22
16,58.0,89.557,10.0,,,22
18,1.0,100.334,14.0,,,22
18,21.0,92.575,11.0,5665.91,,22
18,22.0,110.845,17.0,,5688.146,22
18,52.0,105.169,14.0,8515.92,,22
18,53.0,132.355,14.0,,8538.311,22
22,1.0,96.6,7.0,,,22
22,23.0,91.844,4.0,5825.775,,22
22,24.0,111.159,10.0,,5848.22,22
22,53.0,115.178,6.0,8582.376,,22
22,54.0,114.46,7.0,,8604.242,22
22,58.0,87.954,4.0,,,22
3,1.0,98.267,10.0,,,22
3,18.0,92.751,9.0,5387.666,,22
3,19.0,110.014,17.0,,5409.301,22
3,52.0,104.016,11.0,8498.666,,22
3,53.0,136.464,13.0,,8520.729,22
31,1.0,97.772,9.0,,,22
31,15.0,93.316,10.0,5114.099,,22
31,16.0,109.514,18.0,,5135.784,22
31,58.0,88.249,9.0,,,22
33,1.0,92.8,2.0,,,22
33,13.0,91.515,2.0,4903.157,,22
33,14.0,107.251,4.0,,4924.336,22
33,36.0,103.598,2.0,6966.936,,22
33,37.0,128.605,2.0,,6988.801,22
33,53.0,102.072,2.0,8497.624,,22
33,54.0,135.373,2.0,,8519.082,22
33,58.0,86.618,1.0,,,22
4,1.0,95.658,5.0,,,22
4,17.0,92.251,5.0,5285.092,,22
4,18.0,110.162,13.0,,5306.456,22
4,48.0,89.996,6.0,8106.969,,22
4,49.0,108.028,9.0,,8129.159,22
4,58.0,86.762,7.0,,,22
44,1.0,91.686,1.0,,,22
44,14.0,90.253,1.0,4985.036,,22
44,15.0,108.755,2.0,,5006.652,22
44,58.0,89.33,2.0,,,22
47,1.0,102.098,18.0,,,22
47,10.0,93.378,19.0,4675.97,,22
47,11.0,110.461,19.0,,4698.033,22
47,52.0,116.602,15.0,8562.644,,22
47,53.0,131.605,15.0,,8584.752,22
5,1.0,100.689,15.0,,,22
5,23.0,92.019,10.0,5843.727,,22
5,24.0,110.219,16.0,,5864.964,22
5,58.0,88.303,11.0,,,22
55,1.0,94.819,4.0,,,22
55,19.0,92.384,4.0,5459.433,,22
55,20.0,110.428,8.0,,5481.633,22
55,58.0,88.879,3.0,,,22
6,1.0,101.174,16.0,,,22
6,28.0,94.166,16.0,6318.551,,22
6,29.0,109.78,17.0,,6339.815,22
63,1.0,102.644,19.0,,,22
7,1.0,101.61,17.0,,,22
7,21.0,93.951,13.0,5669.994,,22
7,22.0,110.722,18.0,,5692.414,22
7,25.0,142.917,19.0,6104.655,,22
77,1.0,97.28,8.0,,,22
77,30.0,90.944,4.0,6450.752,,22
77,31.0,110.242,9.0,,6472.478,22
77,58.0,90.479,6.0,,,22
99,1.0,99.822,13.0,,,22
99,17.0,92.432,12.0,5300.811,,22
99,18.0,111.395,18.0,,5323.071,22
