dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
10,1.0,96.603,3.0,,,20
10,13.0,112.7,17.0,4957.601,,20
10,14.0,95.301,18.0,,4983.243,20
10,35.0,110.401,10.0,6943.365,,20
10,36.0,93.491,11.0,,6969.426,20
11,1.0,101.182,9.0,,,20
11,19.0,109.096,11.0,5489.428,,20
11,20.0,93.466,12.0,,5514.816,20
11,41.0,107.99,6.0,7456.085,,20
11,42.0,91.217,7.0,,7481.422,20
11,57.0,86.467,4.0,,,20
14,1.0,95.613,2.0,,,20
14,23.0,109.161,7.0,5840.912,,20
14,24.0,95.017,7.0,,5866.926,20
14,57.0,88.338,3.0,,,20
16,1.0,103.059,13.0,,,20
16,27.0,113.808,12.0,6226.556,,20
16,28.0,95.203,13.0,,6252.334,20
16,57.0,87.912,8.0,,,20
18,1.0,101.296,10.0,,,20
18,23.0,110.883,13.0,5860.618,,20
18,24.0,93.493,13.0,,5886.617,20
18,57.0,87.783,6.0,,,20
22,1.0,100.382,8.0,,,20
22,9.0,114.105,20.0,4603.163,,20
22,10.0,96.181,20.0,,4628.844,20
22,34.0,110.159,13.0,6869.812,,20
22,35.0,94.63,16.0,,6896.368,20
3,1.0,104.471,16.0,,,20
3,26.0,110.268,13.0,6139.682,,20
3,27.0,95.215,15.0,,6165.266,20
31,1.0,98.931,6.0,,,20
31,24.0,110.392,12.0,5947.917,,20
31,25.0,93.212,12.0,,5973.382,20
31,57.0,87.935,5.0,,,20
33,1.0,97.292,4.0,,,20
33,17.0,108.566,2.0,5283.444,,20
33,18.0,92.604,2.0,,5308.731,20
33,41.0,107.168,2.0,7401.286,,20
33,42.0,91.322,2.0,,7426.412,20
33,55.0,117.248,2.0,8640.184,,20
33,56.0,116.876,2.0,,8665.66,20
33,57.0,83.196,2.0,,,20
4,1.0,98.135,5.0,,,20
4,25.0,108.671,10.0,6032.643,,20
4,26.0,95.241,9.0,,6057.922,20
4,49.0,110.835,9.0,8168.885,,20
4,50.0,92.476,11.0,,8195.414,20
44,1.0,93.76,1.0,,,20
44,18.0,107.391,1.0,5361.595,,20
44,19.0,94.158,1.0,,5386.824,20
44,42.0,106.851,1.0,7478.346,,20
44,43.0,92.048,1.0,,7503.69,20
44,57.0,92.447,1.0,,,20
47,1.0,105.606,18.0,,,20
47,22.0,111.775,20.0,5799.323,,20
47,23.0,96.726,20.0,,5825.247,20
5,1.0,104.759,17.0,,,20
5,26.0,110.561,15.0,6141.241,,20
5,27.0,93.904,16.0,,6166.971,20
55,1.0,99.804,7.0,,,20
55,27.0,109.841,8.0,6217.195,,20
55,28.0,94.761,10.0,,6242.8,20
55,57.0,87.748,7.0,,,20
6,1.0,105.752,19.0,,,20
6,18.0,110.705,19.0,5432.205,,20
6,19.0,95.182,20.0,,5458.058,20
63,1.0,104.238,15.0,,,20
63,17.0,112.485,20.0,5340.548,,20
63,18.0,94.945,20.0,,5366.717,20
63,49.0,147.675,19.0,8257.276,,20
63,50.0,93.925,18.0,,8292.222,20
7,1.0,102.464,12.0,,,20
7,10.0,112.005,19.0,4695.248,,20
7,11.0,94.528,20.0,,4721.287,20
7,30.0,110.6,18.0,6520.471,,20
7,31.0,95.51,19.0,,6546.119,20
77,1.0,101.898,11.0,,,20
77,34.0,95.5,14.0,,6801.09,20
9,1.0,106.318,20.0,,,20
9,31.0,114.304,20.0,6636.893,,20
9,32.0,101.988,20.0,,6663.438,20
99,1.0,103.751,14.0,,,20
99,15.0,112.686,20.0,5155.013,,20
99,16.0,94.557,20.0,,5180.884,20
99,32.0,109.375,17.0,6704.158,,20
99,33.0,94.244,19.0,,6729.506,20
