dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
10,1.0,91.557,9.0,,,3
10,2.0,113.555,9.0,2185.142,,3
10,3.0,141.094,9.0,2326.409,2206.69,3
10,4.0,135.417,9.0,,2348.903,3
10,24.0,87.557,7.0,4224.008,,3
10,25.0,105.515,12.0,,4250.138,3
10,66.0,82.432,10.0,,,3
11,1.0,89.236,5.0,,,3
11,2.0,109.102,5.0,2178.379,,3
11,3.0,141.727,5.0,2320.164,2200.358,3
11,4.0,135.249,5.0,,2342.24,3
11,51.0,88.808,4.0,6438.577,,3
11,52.0,106.191,4.0,,6465.152,3
11,66.0,81.766,4.0,,,3
14,1.0,94.254,15.0,,,3
14,2.0,121.115,14.0,2195.28,,3
14,3.0,138.877,14.0,2334.293,2216.699,3
14,4.0,134.695,14.0,,2355.974,3
14,40.0,88.031,6.0,5558.25,,3
14,41.0,105.28,11.0,,5584.652,3
14,66.0,81.032,8.0,,,3
16,1.0,90.736,8.0,,,3
16,2.0,112.693,8.0,2183.443,,3
16,3.0,141.183,8.0,2324.361,2204.971,3
16,4.0,135.461,8.0,,2346.982,3
16,25.0,87.314,5.0,4305.058,,3
16,26.0,105.763,10.0,,4333.234,3
16,66.0,83.729,6.0,,,3
18,1.0,95.093,17.0,,,3
18,2.0,123.386,16.0,2199.941,,3
18,3.0,139.146,16.0,2337.663,2220.364,3
18,4.0,134.788,16.0,,2360.155,3
18,39.0,87.711,7.0,5483.373,,3
18,40.0,104.407,14.0,,5509.268,3
22,1.0,94.845,16.0,,,3
22,2.0,122.598,15.0,2196.965,,3
22,3.0,138.773,15.0,2336.114,2219.133,3
22,4.0,134.118,15.0,,2358.608,3
22,21.0,87.958,15.0,3984.264,,3
22,22.0,106.767,19.0,,4010.405,3
3,1.0,94.197,14.0,,,3
3,2.0,117.399,13.0,2191.554,,3
3,3.0,140.615,13.0,2332.252,2213.531,3
3,4.0,135.357,13.0,,2354.675,3
3,41.0,86.217,5.0,5637.117,,3
3,42.0,107.507,10.0,,5665.722,3
3,66.0,82.8,9.0,,,3
31,1.0,90.419,7.0,,,3
31,2.0,111.644,7.0,2182.119,,3
31,3.0,140.679,7.0,2322.808,2203.774,3
31,4.0,135.969,7.0,,2345.083,3
31,22.0,87.289,9.0,4055.813,,3
31,23.0,107.211,14.0,,4082.828,3
31,66.0,82.286,7.0,,,3
33,1.0,86.704,3.0,,,3
33,2.0,108.275,3.0,2174.988,,3
33,3.0,142.886,3.0,2317.831,2197.779,3
33,4.0,135.089,3.0,,2339.938,3
33,35.0,85.6,3.0,5107.357,,3
33,36.0,103.759,4.0,,5134.135,3
33,64.0,85.271,2.0,7495.846,,3
33,65.0,104.915,2.0,,7522.174,3
33,66.0,79.849,2.0,,,3
4,1.0,89.671,6.0,,,3
4,2.0,110.559,6.0,2180.265,,3
4,3.0,140.721,6.0,2320.96,2202.516,3
4,4.0,136.431,6.0,,2343.562,3
4,22.0,86.873,5.0,4049.92,,3
4,23.0,105.535,10.0,,4076.862,3
4,66.0,82.303,5.0,,,3
44,1.0,85.806,2.0,,,3
44,2.0,108.207,2.0,2173.985,,3
44,3.0,142.624,2.0,2316.661,2196.4,3
44,4.0,135.225,2.0,,2338.79,3
44,37.0,85.526,1.0,5266.497,,3
44,38.0,105.149,2.0,,5293.359,3
44,66.0,82.011,1.0,,,3
47,1.0,96.319,19.0,,,3
47,2.0,124.418,18.0,2203.877,,3
47,3.0,139.654,18.0,2340.458,2222.53,3
47,4.0,134.524,18.0,,2361.871,3
47,32.0,87.878,15.0,4929.542,,3
47,33.0,109.51,18.0,,4956.84,3
5,1.0,91.907,10.0,,,3
5,2.0,115.328,10.0,2187.621,,3
5,3.0,141.344,10.0,2328.961,2208.725,3
5,4.0,134.734,10.0,,2350.684,3
5,22.0,87.464,11.0,4060.672,,3
5,23.0,105.256,16.0,,4087.315,3
55,1.0,88.4,4.0,,,3
55,2.0,108.928,4.0,2177.182,,3
55,3.0,141.456,4.0,2318.764,2199.312,3
55,4.0,135.694,4.0,,2341.049,3
55,21.0,87.31,7.0,3968.221,,3
55,22.0,104.248,15.0,,3994.108,3
55,66.0,83.387,11.0,,,3
6,1.0,95.546,18.0,,,3
6,2.0,124.268,17.0,2199.485,,3
6,3.0,139.257,17.0,2339.358,2221.512,3
6,4.0,134.617,17.0,,2360.808,3
6,24.0,89.32,16.0,4251.478,,3
6,25.0,106.805,19.0,,4277.789,3
63,1.0,92.993,11.0,,,3
63,2.0,115.043,11.0,2188.108,,3
63,3.0,141.091,11.0,2329.144,2211.932,3
63,4.0,136.21,11.0,,2352.234,3
63,28.0,88.745,16.0,4591.06,,3
63,29.0,106.954,18.0,,4617.909,3
7,1.0,93.673,13.0,,,3
77,1.0,84.937,1.0,,,3
77,2.0,106.875,1.0,2171.853,,3
