dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
33,1.0,207.071,1.0,,15365.434,12
63,1.0,209.066,2.0,,15368.396,12
44,1.0,209.672,3.0,,15371.245,12
3,1.0,211.567,4.0,,15374.826,12
5,1.0,214.55,5.0,,15379.164,12
10,1.0,217.248,6.0,,15382.073,12
31,1.0,218.65,7.0,,15386.148,12
16,1.0,219.679,8.0,,15389.578,12
6,1.0,222.556,9.0,,15393.05,12
55,1.0,223.237,10.0,,15395.238,12
14,1.0,227.661,11.0,,15401.19,12
77,1.0,229.485,12.0,,15403.184,12
99,1.0,231.234,13.0,,15407.072,12
4,1.0,234.181,14.0,,15416.766,12
22,1.0,235.4,15.0,,15418.998,12
47,1.0,236.578,16.0,,15421.7,12
9,1.0,239.064,17.0,,15424.61,12
7,1.0,243.125,19.0,,15431.663,12
11,1.0,245.276,20.0,,15431.788,12
18,1.0,241.179,18.0,,15426.785,12
