dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
33,1.0,77.665,1.0,,,13
33,21.0,78.594,1.0,5311.219,,13
33,22.0,92.574,2.0,,5330.417,13
33,40.0,76.99,1.0,6751.067,,13
33,41.0,91.271,1.0,,6769.646,13
33,72.0,74.756,1.0,,,13
44,1.0,79.399,2.0,,,13
44,20.0,79.092,2.0,5239.304,,13
44,21.0,92.549,3.0,,5259.184,13
44,39.0,77.127,2.0,6680.178,,13
44,40.0,92.263,2.0,,6698.815,13
44,70.0,76.335,2.0,8989.858,,13
44,71.0,92.729,2.0,,9008.858,13
44,72.0,71.097,2.0,,,13
77,1.0,80.387,3.0,,,13
77,31.0,82.297,3.0,6085.185,,13
77,32.0,92.787,3.0,,6104.174,13
77,67.0,79.564,3.0,8796.19,,13
77,68.0,95.768,3.0,,8818.016,13
77,72.0,75.152,3.0,,,13
10,1.0,81.662,4.0,,,13
10,24.0,79.651,5.0,5571.368,,13
10,25.0,93.194,7.0,,5590.615,13
16,1.0,82.599,5.0,,,13
16,34.0,80.851,4.0,6340.087,,13
16,35.0,94.78,5.0,,6359.67,13
14,1.0,84.243,7.0,,,13
14,33.0,80.105,6.0,6281.413,,13
14,34.0,94.241,9.0,,6300.439,13
55,1.0,83.478,6.0,,,13
55,31.0,80.945,5.0,6119.161,,13
55,32.0,95.822,7.0,,6139.162,13
11,1.0,96.074,19.0,,3746.446,13
11,8.0,81.601,19.0,4372.819,,13
11,9.0,93.499,19.0,,4391.883,13
11,47.0,79.54,9.0,7371.811,,13
11,48.0,92.886,11.0,,7390.401,13
31,1.0,84.84,8.0,,,13
31,31.0,79.92,8.0,6133.152,,13
31,32.0,92.589,10.0,,6152.04,13
4,1.0,87.415,13.0,,,13
4,42.0,79.533,8.0,6986.59,,13
4,43.0,95.25,11.0,,7007.023,13
3,1.0,85.571,9.0,,,13
3,30.0,79.869,9.0,6061.984,,13
3,31.0,96.145,12.0,,6083.848,13
18,1.0,87.168,12.0,,,13
18,27.0,79.91,14.0,5837.932,,13
18,28.0,94.573,16.0,,5857.338,13
5,1.0,88.261,15.0,,,13
5,10.0,81.791,16.0,4525.416,,13
5,11.0,93.905,19.0,,4544.054,13
5,44.0,79.511,17.0,7179.897,,13
5,45.0,93.4,18.0,,7196.971,13
99,1.0,86.167,10.0,,,13
99,27.0,80.442,10.0,5834.485,,13
99,28.0,94.017,14.0,,5853.285,13
99,33.0,81.476,14.0,6317.929,,13
99,34.0,95.464,18.0,,6338.07,13
88,1.0,89.108,16.0,,,13
88,40.0,81.745,18.0,6869.784,,13
88,41.0,96.349,18.0,,6889.623,13
6,1.0,97.259,20.0,,3747.383,13
6,23.0,80.626,17.0,5540.039,,13
6,24.0,95.434,19.0,,5560.637,13
63,1.0,86.802,11.0,,,13
63,27.0,79.487,11.0,5835.599,,13
63,28.0,94.763,15.0,,5853.886,13
63,68.0,82.782,13.0,8998.257,,13
63,69.0,124.387,17.0,9118.196,9023.463,13
47,1.0,89.661,18.0,,,13
47,4.0,85.287,20.0,4062.811,,13
47,5.0,112.797,20.0,,4098.407,13
47,30.0,84.301,20.0,6159.468,,13
47,31.0,101.926,20.0,,6183.942,13
22,1.0,87.952,14.0,,,13
22,31.0,80.565,11.0,6151.357,,13
22,32.0,95.553,17.0,,6171.211,13
22,48.0,88.936,16.0,7484.057,,13
9,1.0,89.556,17.0,,,13
9,33.0,80.999,19.0,6335.97,,13
9,34.0,96.521,19.0,,6355.644,13
9,41.0,80.779,19.0,6974.403,,13
