dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
44,1.0,125.599,2.0,,,10
44,27.0,92.852,2.0,8538.096,,10
44,28.0,123.392,5.0,,8578.365,10
44,52.0,91.635,1.0,,,10
16,1.0,122.7,1.0,,,10
16,29.0,91.847,1.0,8718.822,,10
16,30.0,111.72,1.0,,8747.264,10
16,52.0,92.857,2.0,,,10
77,1.0,126.173,3.0,,,10
77,22.0,91.869,3.0,8082.696,,10
77,23.0,112.484,4.0,,8111.61,10
77,52.0,92.424,3.0,,,10
4,1.0,128.698,4.0,,,10
4,21.0,91.418,3.0,7988.315,,10
4,22.0,115.033,6.0,,8020.103,10
4,52.0,92.244,4.0,,,10
3,1.0,129.397,5.0,,,10
3,20.0,92.164,5.0,7908.824,,10
3,21.0,113.326,9.0,,7937.67,10
3,52.0,91.323,5.0,,,10
55,1.0,133.629,8.0,,,10
55,28.0,91.816,2.0,8647.108,,10
55,29.0,120.799,6.0,,8684.632,10
55,52.0,91.302,6.0,,,10
14,1.0,132.307,7.0,,,10
14,24.0,93.49,6.0,8291.006,,10
14,25.0,113.53,9.0,,8320.667,10
14,52.0,92.821,7.0,,,10
18,1.0,137.724,11.0,,,10
18,23.0,92.955,7.0,8199.412,,10
18,24.0,112.567,10.0,,8227.621,10
18,52.0,93.251,8.0,,,10
31,1.0,136.727,10.0,,,10
31,19.0,93.472,9.0,7830.645,,10
31,20.0,113.457,12.0,,7859.417,10
31,52.0,92.804,9.0,,,10
22,1.0,144.225,15.0,,,10
22,30.0,92.682,7.0,8862.931,,10
22,31.0,113.783,13.0,,8892.075,10
22,52.0,91.101,10.0,,,10
10,1.0,139.081,12.0,,,10
10,28.0,92.66,6.0,8669.526,,10
10,29.0,113.002,11.0,,8698.236,10
10,46.0,93.003,9.0,10360.646,,10
10,47.0,110.418,14.0,,10388.688,10
10,52.0,90.266,11.0,,,10
63,1.0,142.688,14.0,,,10
63,18.0,92.972,14.0,7744.163,,10
63,19.0,111.666,16.0,,7771.955,10
99,1.0,140.441,13.0,,,10
99,23.0,93.119,10.0,8211.843,,10
99,24.0,113.252,15.0,,8239.997,10
6,1.0,146.229,17.0,,,10
6,19.0,93.034,13.0,7841.403,,10
6,20.0,112.614,16.0,,7868.924,10
7,1.0,136.273,9.0,,,10
7,18.0,93.762,10.0,7739.496,,10
7,19.0,112.938,14.0,,7767.636,10
11,1.0,149.563,19.0,,3753.068,10
11,18.0,93.404,11.0,7740.622,,10
11,19.0,112.025,15.0,,7768.516,10
11,38.0,91.9,8.0,9618.017,,10
11,39.0,110.566,16.0,,9645.908,10
11,48.0,90.0,10.0,10554.363,,10
11,49.0,118.246,16.0,,10583.514,10
9,1.0,148.985,18.0,,,10
9,25.0,93.671,18.0,8437.954,,10
9,26.0,115.157,19.0,,8467.218,10
47,1.0,145.57,16.0,,,10
47,24.0,93.93,18.0,8341.07,,10
47,25.0,117.006,19.0,,8370.414,10
5,1.0,130.61,6.0,,,10
5,18.0,93.837,17.0,7748.83,,10
5,19.0,113.237,17.0,,7777.312,10
5,40.0,101.335,17.0,9832.008,,10
