dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
44,1.0,119.538,2.0,,,1
44,13.0,98.924,2.0,3629.611,,1
44,14.0,115.006,4.0,,3654.547,1
44,28.0,97.835,2.0,5081.24,,1
44,29.0,115.194,3.0,,5105.375,1
44,56.0,94.918,1.0,,,1
33,1.0,118.245,1.0,,,1
33,17.0,99.153,1.0,4015.22,,1
33,18.0,115.532,2.0,,4040.122,1
33,39.0,97.828,1.0,6133.427,,1
33,40.0,113.437,2.0,,6157.245,1
33,56.0,94.727,2.0,,,1
77,1.0,123.772,4.0,,,1
77,16.0,99.534,2.0,3924.696,,1
77,17.0,114.719,4.0,,3948.94,1
77,30.0,98.028,2.0,5279.311,,1
77,31.0,123.818,5.0,,5312.248,1
77,54.0,97.802,3.0,7581.738,,1
77,55.0,115.899,3.0,,7606.324,1
77,56.0,92.09,3.0,,,1
4,1.0,126.744,6.0,,,1
4,12.0,100.425,5.0,3545.532,,1
4,13.0,117.417,13.0,,3570.38,1
4,33.0,99.275,3.0,5591.987,,1
4,34.0,116.81,6.0,,5617.645,1
4,56.0,95.733,4.0,,,1
11,1.0,147.951,19.0,,2242.315,1
11,2.0,140.666,19.0,2517.867,,1
11,3.0,135.246,19.0,,2541.058,1
11,19.0,99.72,4.0,4235.674,,1
11,20.0,116.512,12.0,,4259.792,1
11,38.0,98.802,4.0,6080.638,,1
11,39.0,116.75,8.0,,6104.805,1
11,56.0,94.755,5.0,,,1
16,1.0,122.698,3.0,,,1
16,12.0,100.477,6.0,3546.889,,1
16,13.0,116.773,14.0,,3571.829,1
16,32.0,99.973,5.0,5500.633,,1
16,33.0,115.256,7.0,,5524.85,1
16,56.0,96.951,6.0,,,1
3,1.0,128.545,7.0,,,1
3,13.0,100.195,4.0,3645.671,,1
3,14.0,117.427,11.0,,3670.325,1
3,32.0,99.803,7.0,5505.358,,1
3,33.0,116.039,9.0,,5530.049,1
3,56.0,95.823,7.0,,,1
55,1.0,134.282,10.0,,,1
55,15.0,100.84,5.0,3844.526,,1
55,16.0,116.548,11.0,,3868.934,1
55,37.0,99.631,6.0,5994.069,,1
55,38.0,115.128,9.0,,6018.443,1
55,56.0,95.76,8.0,,,1
22,1.0,142.502,15.0,,,1
22,15.0,100.58,7.0,3853.137,,1
22,16.0,117.127,14.0,,3878.216,1
22,33.0,99.388,8.0,5616.906,,1
22,34.0,115.773,13.0,,5641.225,1
22,56.0,96.755,9.0,,,1
18,1.0,132.396,9.0,,,1
18,12.0,100.751,8.0,3549.889,,1
18,13.0,116.84,16.0,,3575.926,1
18,28.0,99.588,9.0,5124.368,,1
18,29.0,117.513,15.0,,5150.113,1
18,56.0,98.6,10.0,,,1
7,1.0,136.372,11.0,,,1
7,13.0,99.71,7.0,3652.633,,1
7,14.0,117.033,14.0,,3676.777,1
7,29.0,99.035,9.0,5226.76,,1
7,30.0,116.634,14.0,,5250.884,1
7,56.0,95.96,11.0,,,1
99,1.0,138.362,12.0,,,1
99,12.0,100.892,11.0,3555.082,,1
99,13.0,125.351,18.0,,3587.11,1
99,30.0,99.49,11.0,5335.899,,1
99,31.0,116.373,17.0,,5358.438,1
31,1.0,139.866,13.0,,,1
31,13.0,100.503,9.0,3655.991,,1
31,14.0,117.222,15.0,,3681.236,1
31,31.0,99.268,10.0,5429.744,,1
31,32.0,116.314,15.0,,5454.204,1
63,1.0,144.364,16.0,,,1
63,13.0,100.821,12.0,3662.699,,1
63,14.0,117.136,18.0,,3687.323,1
63,36.0,102.693,13.0,5928.507,,1
63,37.0,115.22,16.0,,5952.755,1
5,1.0,141.797,14.0,,,1
5,24.0,101.508,14.0,4749.201,,1
5,25.0,116.594,17.0,,4773.805,1
47,1.0,146.524,18.0,,,1
47,14.0,102.903,17.0,3778.451,,1
47,15.0,121.871,19.0,,3804.248,1
47,33.0,100.674,17.0,5667.423,,1
47,34.0,119.708,18.0,,5692.805,1
10,1.0,124.697,5.0,,,1
10,4.0,126.772,18.0,2774.801,,1
10,5.0,131.534,19.0,,2813.133,1
10,19.0,100.838,18.0,4278.062,,1
10,20.0,119.29,19.0,,4302.399,1
10,39.0,99.587,16.0,6236.395,,1
10,40.0,116.887,16.0,,6261.345,1
10,52.0,98.051,16.0,7490.34,,1
6,1.0,145.219,17.0,,,1
6,14.0,102.131,13.0,3764.704,,1
6,15.0,119.286,18.0,,3790.669,1
6,32.0,102.667,17.0,5553.032,,1
6,33.0,118.954,18.0,,5577.01,1
6,51.0,106.133,18.0,7458.972,,1
14,1.0,130.373,8.0,,,1
14,11.0,100.308,9.0,3452.56,,1
14,12.0,116.122,17.0,,3476.937,1
14,29.0,100.108,12.0,5234.206,,1
14,30.0,117.522,17.0,,5258.977,1
14,32.0,102.313,16.0,5550.161,,1
