dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
10,1.0,122.171,18.0,,3742.702,14
10,3.0,109.173,18.0,4051.414,,14
11,1.0,110.352,7.0,,,14
11,26.0,105.619,2.0,6033.698,,14
11,53.0,85.156,3.0,,,14
14,1.0,113.42,9.0,,,14
14,25.0,92.11,10.0,5952.86,,14
14,26.0,134.49,11.0,,5977.631,14
14,53.0,85.511,8.0,,,14
16,1.0,108.161,5.0,,,14
16,26.0,104.442,1.0,6029.227,,14
16,53.0,85.319,5.0,,,14
18,1.0,111.426,8.0,,,14
18,25.0,91.605,9.0,5948.505,,14
18,26.0,134.773,10.0,,5973.007,14
18,53.0,86.077,7.0,,,14
3,1.0,97.656,1.0,,,14
3,22.0,92.063,2.0,5657.595,,14
3,23.0,105.539,7.0,,5681.382,14
3,53.0,84.812,1.0,,,14
31,1.0,114.99,10.0,,,14
31,26.0,115.315,7.0,6068.822,,14
31,27.0,142.102,11.0,,6099.171,14
31,53.0,85.566,10.0,,,14
33,1.0,99.532,2.0,,,14
33,23.0,91.184,2.0,5745.54,,14
33,24.0,114.069,9.0,,5778.015,14
4,1.0,101.695,3.0,,,14
4,24.0,92.641,3.0,5837.918,,14
4,25.0,106.151,7.0,,5862.041,14
4,53.0,84.971,2.0,,,14
44,1.0,105.494,4.0,,,14
44,25.0,90.855,1.0,5923.257,,14
47,1.0,120.963,15.0,,,14
47,23.0,93.142,17.0,5808.642,,14
47,24.0,107.809,18.0,,5833.321,14
47,53.0,86.771,15.0,,,14
5,1.0,118.083,12.0,,,14
5,22.0,92.328,14.0,5695.848,,14
5,23.0,109.176,15.0,,5720.701,14
5,26.0,121.789,13.0,6100.772,,14
5,27.0,135.317,13.0,,6126.388,14
5,53.0,86.11,12.0,,,14
55,1.0,109.405,6.0,,,14
55,26.0,109.421,4.0,6047.197,,14
55,53.0,85.559,6.0,,,14
6,1.0,116.194,11.0,,,14
6,23.0,92.043,12.0,5780.928,,14
6,24.0,106.192,14.0,,5805.111,14
6,53.0,86.282,11.0,,,14
63,1.0,118.146,13.0,,,14
63,26.0,115.947,8.0,6072.143,,14
63,27.0,135.424,9.0,,6096.302,14
63,53.0,85.835,9.0,,,14
77,1.0,121.031,16.0,,,14
77,26.0,110.032,5.0,6049.225,,14
77,53.0,85.27,4.0,,,14
88,1.0,120.167,14.0,,,14
88,26.0,118.104,9.0,6079.798,,14
88,27.0,134.609,12.0,,6108.931,14
88,53.0,85.849,14.0,,,14
9,1.0,121.117,17.0,,,14
9,24.0,93.767,17.0,5900.849,,14
9,25.0,121.885,18.0,,5925.782,14
9,28.0,129.771,16.0,6372.163,,14
9,39.0,96.154,16.0,7464.688,,14
9,40.0,113.307,16.0,,7495.594,14
99,1.0,129.159,19.0,3860.235,,14
99,2.0,120.859,19.0,,3897.42,14
99,25.0,96.621,16.0,5994.414,,14
99,26.0,138.111,15.0,,6024.992,14
99,53.0,86.161,13.0,,,14
