dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
33,1.0,72.767,1.0,,,8
33,29.0,73.454,1.0,4013.997,,8
33,30.0,85.881,1.0,,4034.9,8
33,71.0,70.579,1.0,,,8
44,1.0,73.718,2.0,,,8
44,28.0,73.529,2.0,3949.153,,8
44,29.0,85.983,2.0,,3970.364,8
44,69.0,73.177,2.0,6802.751,,8
44,70.0,87.391,2.0,,6824.408,8
44,71.0,67.058,2.0,,,8
77,1.0,76.145,5.0,,,8
77,27.0,72.657,3.0,3896.424,,8
77,28.0,86.779,4.0,,3918.17,8
77,71.0,69.693,3.0,,,8
11,1.0,75.588,4.0,,,8
11,26.0,75.077,4.0,3827.165,,8
11,27.0,88.279,5.0,,3850.147,8
11,54.0,73.23,4.0,5787.195,,8
11,55.0,84.482,4.0,,5808.167,8
11,71.0,68.872,4.0,,,8
4,1.0,74.772,3.0,,,8
4,31.0,74.67,5.0,4193.727,,8
4,32.0,89.165,6.0,,4215.658,8
55,1.0,79.536,11.0,,,8
55,41.0,74.124,5.0,4909.235,,8
55,42.0,86.68,7.0,,4930.425,8
16,1.0,80.376,14.0,2062.946,,8
16,2.0,94.842,18.0,,2091.329,8
16,37.0,73.991,8.0,4643.168,,8
16,38.0,86.5,14.0,,4665.057,8
18,1.0,77.559,6.0,,,8
18,28.0,74.631,7.0,3995.688,,8
18,29.0,86.477,11.0,,4016.604,8
14,1.0,78.154,7.0,,,8
14,27.0,75.012,8.0,3925.517,,8
14,28.0,87.076,12.0,,3946.625,8
22,1.0,79.228,10.0,,,8
22,26.0,74.591,11.0,3856.156,,8
22,27.0,86.992,14.0,,3877.364,8
7,1.0,80.271,13.0,,,8
7,36.0,74.571,9.0,4570.789,,8
7,37.0,87.223,14.0,,4592.057,8
5,1.0,79.76,12.0,,,8
5,27.0,74.363,12.0,3929.586,,8
5,28.0,86.773,14.0,,3950.824,8
3,1.0,79.085,9.0,,,8
3,41.0,74.26,8.0,4924.718,,8
3,42.0,88.262,15.0,,4946.232,8
31,1.0,80.716,15.0,,,8
31,36.0,74.26,11.0,4574.721,,8
31,37.0,86.363,15.0,,4595.943,8
99,1.0,83.17,18.0,,,8
99,23.0,75.053,16.0,3650.356,,8
99,24.0,87.861,17.0,,3671.555,8
47,1.0,81.602,17.0,,,8
47,33.0,74.883,16.0,4389.318,,8
47,34.0,89.635,17.0,,4411.736,8
6,1.0,115.792,19.0,2098.406,,8
6,2.0,93.471,19.0,,2124.781,8
6,25.0,75.151,19.0,3850.676,,8
6,26.0,88.392,19.0,,3872.661,8
9,1.0,81.215,16.0,,,8
9,21.0,76.1,18.0,3520.475,,8
9,22.0,91.879,18.0,,3543.235,8
63,1.0,78.529,8.0,,,8
63,25.0,74.57,11.0,3783.392,,8
63,26.0,106.305,17.0,3889.717,3820.802,8
63,27.0,112.255,18.0,,3936.011,8
63,36.0,78.351,18.0,4650.9,,8
10,1.0,123.661,20.0,2105.286,,8
