dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
33,1.0,87.835,1.0,,,9
33,32.0,73.134,1.0,6043.035,,9
33,33.0,85.451,1.0,,6064.19,9
33,60.0,71.722,1.0,7983.809,,9
33,61.0,85.09,1.0,,8005.11,9
33,71.0,67.737,1.0,,,9
77,1.0,95.924,5.0,,,9
77,30.0,73.539,4.0,5922.092,,9
77,31.0,86.602,3.0,,5943.155,9
77,71.0,69.459,2.0,,,9
4,1.0,90.875,2.0,,,9
4,30.0,73.463,3.0,5920.273,,9
4,31.0,91.546,4.0,,5946.72,9
4,71.0,69.658,3.0,,,9
44,1.0,95.027,4.0,,,9
44,31.0,73.627,2.0,5986.03,,9
44,32.0,86.319,2.0,,6007.009,9
44,53.0,73.847,4.0,7533.537,,9
44,54.0,85.346,4.0,,7554.2,9
44,71.0,70.846,4.0,,,9
55,1.0,109.634,14.0,,,9
55,48.0,73.405,5.0,7208.02,,9
55,49.0,86.212,8.0,,7229.427,9
55,71.0,68.992,6.0,,,9
11,1.0,93.418,3.0,,,9
11,32.0,73.971,7.0,6088.436,,9
11,33.0,85.499,10.0,,6110.148,9
11,71.0,69.218,5.0,,,9
3,1.0,106.476,11.0,,,9
3,29.0,73.401,7.0,5875.732,,9
3,30.0,85.889,12.0,,5896.872,9
3,71.0,70.839,7.0,,,9
16,1.0,104.259,10.0,,,9
16,34.0,73.495,6.0,6227.934,,9
16,35.0,85.617,10.0,,6249.069,9
16,71.0,70.304,8.0,,,9
10,1.0,97.666,6.0,,,9
10,13.0,74.537,5.0,4745.067,,9
10,14.0,88.296,18.0,,4767.627,9
10,45.0,73.417,9.0,7009.237,,9
10,46.0,85.15,12.0,,7030.067,9
10,71.0,70.068,9.0,,,9
14,1.0,111.658,16.0,,,9
14,32.0,74.052,11.0,6101.452,,9
14,33.0,87.323,16.0,,6124.132,9
63,1.0,108.842,13.0,,,9
63,30.0,73.41,10.0,5957.103,,9
63,31.0,86.784,16.0,,5978.772,9
22,1.0,99.37,7.0,,,9
22,12.0,74.338,10.0,4676.159,,9
22,13.0,87.269,19.0,,4697.32,9
22,51.0,72.567,9.0,7437.419,,9
22,52.0,92.862,14.0,,7463.991,9
18,1.0,101.722,8.0,,,9
18,14.0,74.676,9.0,4820.75,,9
18,15.0,87.413,19.0,,4841.902,9
18,46.0,74.296,15.0,7100.169,,9
18,47.0,87.351,17.0,,7121.372,9
99,1.0,107.502,12.0,3822.894,,9
99,2.0,120.589,19.0,,3840.807,9
99,29.0,74.521,17.0,5898.952,,9
99,30.0,93.104,18.0,,5926.088,9
7,1.0,110.522,15.0,,,9
7,37.0,73.641,9.0,6451.007,,9
7,38.0,87.558,15.0,,6472.863,9
6,1.0,115.251,18.0,,,9
6,33.0,75.269,14.0,6182.401,,9
6,34.0,86.673,17.0,,6203.231,9
5,1.0,103.358,9.0,,,9
5,17.0,75.194,9.0,5034.869,,9
5,18.0,86.577,18.0,,5055.579,9
5,49.0,72.881,10.0,7300.456,,9
5,50.0,84.593,14.0,,7321.02,9
47,1.0,113.05,17.0,,,9
47,34.0,74.136,16.0,6267.351,,9
47,35.0,90.097,18.0,,6289.165,9
9,1.0,117.036,19.0,,,9
9,27.0,75.562,19.0,5775.507,,9
9,28.0,89.641,19.0,,5797.497,9
9,45.0,74.264,19.0,7078.815,,9
9,46.0,91.577,19.0,,7102.078,9
