dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
10,1.0,114.003,6.0,,,2
10,14.0,100.055,17.0,3610.679,,2
10,15.0,121.674,18.0,,3641.732,2
10,26.0,96.337,16.0,4725.618,,2
10,27.0,120.643,16.0,,4757.909,2
10,32.0,119.472,14.0,5358.556,,2
10,63.0,80.007,8.0,,,2
11,1.0,107.814,4.0,,,2
11,28.0,92.716,4.0,4798.896,,2
11,29.0,127.522,5.0,,4843.572,2
11,33.0,118.705,4.0,5351.663,,2
11,63.0,79.672,12.0,,,2
14,1.0,130.127,17.0,,,2
14,28.0,96.599,12.0,4878.812,,2
14,29.0,115.858,15.0,,4909.796,2
14,32.0,121.804,12.0,5317.45,,2
14,63.0,79.66,10.0,,,2
16,1.0,107.198,3.0,,,2
16,28.0,92.467,2.0,4784.152,,2
16,29.0,113.853,3.0,,4815.11,2
16,33.0,131.844,2.0,5308.896,,2
16,63.0,78.624,4.0,,,2
18,1.0,115.367,7.0,,,2
18,27.0,93.507,9.0,4756.421,,2
18,28.0,115.935,9.0,,4787.558,2
18,32.0,141.217,7.0,5294.191,,2
18,63.0,79.953,7.0,,,2
22,1.0,129.267,15.0,,,2
22,25.0,94.886,13.0,4599.754,,2
22,26.0,115.551,15.0,,4630.45,2
22,32.0,137.918,10.0,5304.596,,2
22,63.0,78.408,13.0,,,2
3,1.0,112.843,5.0,,,2
3,27.0,94.113,7.0,4737.991,,2
3,28.0,120.052,8.0,,4772.276,2
3,33.0,122.779,6.0,5366.051,,2
3,63.0,80.147,6.0,,,2
31,1.0,125.387,14.0,2116.95,,2
31,27.0,93.761,12.0,4782.796,,2
31,28.0,113.457,15.0,,4813.438,2
31,31.0,114.569,12.0,5183.677,,2
31,32.0,144.671,13.0,5328.344,5214.355,2
31,63.0,79.561,11.0,,,2
33,1.0,98.603,1.0,,,2
33,27.0,91.736,2.0,4680.076,,2
33,28.0,111.252,3.0,,4710.619,2
33,33.0,144.051,1.0,5292.328,,2
33,63.0,77.972,1.0,,,2
4,1.0,119.977,9.0,,,2
4,28.0,92.204,5.0,4811.399,,2
4,29.0,112.737,4.0,,4842.013,2
4,33.0,116.233,3.0,5346.624,,2
4,63.0,78.259,3.0,,,2
44,1.0,102.572,2.0,,,2
44,28.0,90.425,1.0,4767.715,,2
44,29.0,113.281,2.0,,4799.824,2
44,63.0,78.038,2.0,,,2
47,1.0,129.679,16.0,,,2
47,5.0,145.633,19.0,2712.244,,2
47,6.0,146.613,19.0,,2763.268,2
47,21.0,98.836,18.0,4284.543,,2
47,22.0,132.31,18.0,,4317.067,2
47,31.0,139.925,16.0,5300.908,,2
47,33.0,145.957,16.0,,6968.486,2
5,1.0,131.207,18.0,,2009.429,2
5,3.0,142.98,18.0,2410.348,,2
5,4.0,145.242,18.0,,2442.648,2
5,20.0,98.583,16.0,4151.436,,2
5,21.0,122.627,17.0,,4182.926,2
5,22.0,98.889,17.0,4372.911,,2
5,23.0,133.009,17.0,,4412.706,2
5,32.0,120.47,15.0,5361.592,,2
5,61.0,87.605,14.0,9270.539,,2
55,1.0,117.218,8.0,,,2
55,27.0,92.015,6.0,4732.113,,2
55,28.0,115.179,7.0,,4762.965,2
55,33.0,118.15,5.0,5355.151,,2
55,63.0,78.496,5.0,,,2
63,1.0,122.63,11.0,,,2
63,26.0,94.682,10.0,4674.198,,2
63,27.0,113.763,13.0,,4704.186,2
7,1.0,123.999,12.0,,,2
7,26.0,93.193,11.0,4675.376,,2
7,27.0,114.991,14.0,,4705.7,2
7,32.0,137.37,8.0,5296.865,,2
7,63.0,79.527,9.0,,,2
77,1.0,120.892,10.0,,,2
77,28.0,93.667,6.0,4846.655,,2
77,29.0,115.306,8.0,,4876.803,2
9,1.0,133.405,19.0,,,2
9,12.0,105.258,18.0,3440.446,,2
9,13.0,124.703,19.0,,3471.557,2
9,23.0,98.945,19.0,4520.373,,2
9,24.0,129.184,19.0,,4551.86,2
9,31.0,112.033,17.0,5338.423,,2
9,33.0,127.288,17.0,,6972.152,2
99,1.0,125.332,13.0,,,2
99,27.0,92.995,10.0,4772.408,,2
99,28.0,117.324,13.0,,4804.69,2
99,32.0,136.38,11.0,5306.634,,2
99,40.0,86.123,12.0,7573.969,,2
99,41.0,103.562,15.0,,7603.656,2
