dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
10,1.0,101.926,8.0,,,21
10,50.0,93.008,6.0,,,21
11,1.0,99.056,5.0,,,21
11,10.0,125.84,5.0,4678.059,,21
14,1.0,103.891,11.0,,,21
14,10.0,130.761,13.0,4701.808,,21
14,44.0,97.519,13.0,10807.985,,21
14,45.0,112.878,13.0,,10829.075,21
16,1.0,98.491,4.0,,,21
16,10.0,125.296,4.0,4674.817,,21
16,50.0,93.431,7.0,,,21
18,1.0,106.177,16.0,,,21
18,9.0,102.354,16.0,4583.683,,21
18,10.0,147.675,19.0,,4610.848,21
18,50.0,93.565,11.0,,,21
22,1.0,104.425,12.0,,,21
22,24.0,121.649,16.0,,8725.815,21
3,1.0,102.224,9.0,,,21
3,50.0,94.15,5.0,,,21
31,1.0,101.17,7.0,,,21
31,50.0,93.223,4.0,,,21
33,1.0,96.916,3.0,,,21
33,50.0,94.032,2.0,,,21
4,1.0,100.157,6.0,,,21
4,10.0,126.861,7.0,4687.91,,21
4,50.0,91.974,10.0,,,21
44,1.0,95.234,1.0,,,21
44,10.0,122.043,1.0,4662.299,,21
44,50.0,95.604,1.0,,,21
47,1.0,107.17,18.0,,,21
5,1.0,105.422,15.0,,,21
5,44.0,101.485,14.0,10816.466,,21
55,1.0,104.856,13.0,,,21
55,50.0,95.424,8.0,,,21
6,1.0,107.622,19.0,,,21
6,10.0,126.447,16.0,4716.709,,21
6,50.0,93.083,12.0,,,21
63,1.0,106.8,17.0,,,21
63,9.0,102.388,17.0,4585.972,,21
63,10.0,140.006,18.0,,4606.529,21
7,1.0,104.906,14.0,,,21
7,26.0,111.33,15.0,8967.684,,21
7,27.0,139.182,15.0,,9002.064,21
77,1.0,96.272,2.0,,,21
77,10.0,127.44,3.0,4671.117,,21
77,50.0,92.647,3.0,,,21
9,1.0,108.604,20.0,,,21
99,1.0,103.867,10.0,,,21
99,50.0,93.604,9.0,,,21
