dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
44,1.0,83.099,6.0,,,19
44,7.0,119.617,3.0,4297.672,,19
44,8.0,131.737,3.0,4429.545,4317.067,19
44,9.0,147.627,3.0,,4448.533,19
44,26.0,78.676,3.0,5907.522,,19
44,27.0,89.802,6.0,,5930.523,19
44,43.0,77.413,1.0,7193.355,,19
44,44.0,89.598,2.0,,7216.311,19
44,71.0,73.86,1.0,,,19
33,1.0,78.399,1.0,,,19
33,7.0,119.85,1.0,4293.306,,19
33,8.0,133.61,1.0,4426.989,4311.441,19
33,9.0,149.633,1.0,,4445.085,19
33,27.0,78.696,1.0,5979.234,,19
33,28.0,90.413,3.0,,6001.702,19
33,40.0,77.355,2.0,6971.612,,19
33,41.0,89.979,4.0,,6994.796,19
33,71.0,74.926,2.0,,,19
77,1.0,80.541,3.0,,,19
77,7.0,118.619,4.0,4299.036,,19
77,8.0,132.3,4.0,4431.429,4317.198,19
77,9.0,145.925,4.0,,4449.639,19
77,30.0,87.036,1.0,6221.248,,19
77,31.0,91.638,3.0,,6244.829,19
77,41.0,77.563,2.0,7051.325,,19
77,42.0,90.597,4.0,,7074.475,19
77,71.0,73.454,3.0,,,19
11,1.0,79.651,2.0,,,19
11,7.0,119.107,2.0,4295.164,,19
11,8.0,133.453,2.0,4428.608,4313.75,19
11,9.0,148.325,2.0,,4447.978,19
11,28.0,79.188,2.0,6061.87,,19
11,29.0,91.989,5.0,,6085.333,19
11,42.0,77.41,2.0,7129.333,,19
11,43.0,89.5,5.0,,7152.254,19
11,69.0,78.016,4.0,9126.756,,19
11,70.0,94.208,4.0,,9149.911,19
11,71.0,71.01,4.0,,,19
16,1.0,81.519,4.0,,,19
16,7.0,118.517,5.0,4300.727,,19
16,8.0,132.431,5.0,4433.305,4318.991,19
16,9.0,144.186,5.0,,4451.372,19
16,27.0,79.37,4.0,5994.135,,19
16,28.0,91.496,9.0,,6017.046,19
16,52.0,78.29,6.0,7892.804,,19
16,53.0,91.351,6.0,,7916.171,19
16,71.0,74.38,5.0,,,19
55,1.0,82.506,5.0,,,19
55,7.0,118.669,6.0,4302.575,,19
55,8.0,131.905,6.0,4434.661,4321.318,19
55,9.0,142.998,6.0,,4454.382,19
55,26.0,79.586,6.0,5920.946,,19
55,27.0,91.824,13.0,,5944.577,19
55,53.0,78.51,5.0,7971.05,,19
55,54.0,90.648,6.0,,7994.061,19
55,71.0,73.147,6.0,,,19
10,1.0,84.052,8.0,,,19
10,7.0,118.617,8.0,4305.963,,19
10,8.0,132.584,8.0,4439.201,4325.652,19
10,9.0,139.155,8.0,,4458.103,19
10,25.0,79.47,8.0,5848.057,,19
10,26.0,91.872,14.0,,5871.485,19
10,51.0,78.44,7.0,7827.873,,19
10,52.0,90.637,9.0,,7851.227,19
31,1.0,84.757,10.0,,,19
31,7.0,118.491,9.0,4307.434,,19
