dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
10,1.0,96.03,13.0,,,4
10,18.0,88.954,15.0,3638.062,,4
10,19.0,107.357,19.0,,3666.104,4
10,47.0,89.486,12.0,6107.583,,4
10,48.0,104.31,16.0,,6133.636,4
11,1.0,91.943,6.0,,,4
11,27.0,86.984,5.0,4387.036,,4
11,28.0,103.231,7.0,,4409.37,4
11,57.0,87.212,5.0,6895.991,,4
11,58.0,100.501,5.0,,6917.373,4
11,66.0,80.971,5.0,,,4
14,1.0,94.655,10.0,,,4
14,21.0,88.466,11.0,3892.076,,4
14,22.0,102.352,16.0,,3913.985,4
14,61.0,91.873,15.0,7301.618,,4
14,62.0,106.209,17.0,,7325.079,4
16,1.0,89.442,3.0,,,4
16,28.0,88.933,3.0,4460.546,,4
16,29.0,101.185,4.0,,4482.119,4
16,58.0,86.959,4.0,6965.987,,4
16,59.0,100.867,4.0,,6988.258,4
16,66.0,83.696,4.0,,,4
18,1.0,95.051,11.0,,,4
18,22.0,88.864,10.0,3976.311,,4
18,23.0,101.265,14.0,,3999.169,4
18,39.0,87.013,11.0,5429.184,,4
18,40.0,101.986,14.0,,5450.919,4
22,1.0,98.543,18.0,,,4
3,1.0,91.083,5.0,,,4
3,25.0,87.87,5.0,4217.152,,4
3,26.0,102.377,8.0,,4239.527,4
3,46.0,88.536,6.0,5989.511,,4
3,47.0,101.018,8.0,,6011.232,4
3,66.0,82.438,6.0,,,4
31,1.0,92.775,7.0,,,4
31,23.0,88.11,7.0,4054.148,,4
31,24.0,103.206,12.0,,4076.927,4
33,1.0,86.19,1.0,,,4
33,24.0,88.038,2.0,4112.892,,4
33,25.0,101.545,3.0,,4136.552,4
33,60.0,88.448,2.0,7098.814,,4
33,61.0,101.338,2.0,,7120.405,4
33,66.0,80.875,2.0,,,4
4,1.0,93.959,9.0,,,4
4,23.0,87.125,8.0,4056.087,,4
4,24.0,103.909,13.0,,4077.916,4
4,51.0,86.88,9.0,6429.182,,4
4,52.0,101.83,11.0,,6451.704,4
44,1.0,87.702,2.0,,,4
44,28.0,87.03,1.0,4447.343,,4
44,29.0,100.943,2.0,,4469.546,4
44,42.0,85.686,2.0,5613.25,,4
44,43.0,99.613,3.0,,5635.307,4
44,66.0,82.044,1.0,,,4
47,1.0,97.64,16.0,,,4
47,23.0,89.741,16.0,4080.114,,4
47,24.0,106.559,18.0,,4104.1,4
47,50.0,88.28,18.0,6393.689,,4
47,51.0,103.198,18.0,,6416.016,4
5,1.0,95.498,12.0,,,4
5,21.0,88.53,13.0,3893.645,,4
5,22.0,104.529,18.0,,3916.386,4
5,38.0,87.558,13.0,5348.697,,4
5,39.0,102.16,16.0,,5370.54,4
55,1.0,93.5,8.0,,,4
55,22.0,88.62,9.0,3970.489,,4
55,23.0,100.926,13.0,,3992.385,4
55,46.0,87.033,7.0,5990.875,,4
55,47.0,101.059,9.0,,6012.679,4
55,66.0,82.347,7.0,,,4
6,1.0,99.177,19.0,,,4
6,9.0,114.725,18.0,2830.786,,4
6,10.0,119.384,18.0,,2857.703,4
6,27.0,89.626,12.0,4413.224,,4
6,28.0,102.425,17.0,,4434.838,4
6,50.0,88.65,16.0,6379.459,,4
6,51.0,103.082,17.0,,6402.129,4
63,1.0,98.084,17.0,,,4
63,9.0,114.735,15.0,2827.401,,4
63,10.0,122.194,17.0,,2851.214,4
63,28.0,87.78,9.0,4492.781,,4
63,29.0,101.012,16.0,,4515.072,4
7,1.0,96.748,14.0,,,4
7,37.0,90.354,13.0,5261.793,,4
7,38.0,104.27,17.0,,5283.349,4
77,1.0,90.174,4.0,,,4
77,23.0,87.743,4.0,4038.673,,4
77,24.0,100.129,6.0,,4060.972,4
77,53.0,87.702,3.0,6533.815,,4
77,54.0,100.105,4.0,,6554.606,4
77,66.0,81.252,3.0,,,4
9,1.0,99.826,20.0,,,4
9,22.0,91.969,19.0,4000.936,,4
9,23.0,106.885,19.0,,4024.005,4
9,42.0,89.125,19.0,5737.331,,4
9,43.0,106.069,19.0,,5759.775,4
99,1.0,97.299,15.0,,,4
99,8.0,98.019,15.0,2706.976,,4
99,39.0,92.536,17.0,5452.395,,4
99,40.0,104.771,18.0,,5476.572,4
