dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
10,1.0,115.24,5.0,,,6
10,11.0,111.282,4.0,3236.378,,6
10,12.0,124.046,6.0,,3256.561,6
10,47.0,133.442,4.0,7426.043,,6
10,51.0,105.588,3.0,,,6
11,1.0,114.523,4.0,,,6
11,13.0,109.96,1.0,3446.235,,6
11,14.0,124.379,3.0,,3468.08,6
11,47.0,136.165,1.0,7419.425,,6
11,51.0,104.703,1.0,,,6
14,1.0,117.109,7.0,,,6
14,7.0,114.515,11.0,2815.89,,6
14,8.0,125.508,14.0,,2835.13,6
14,47.0,138.391,10.0,7444.301,,6
14,51.0,105.715,6.0,,,6
16,1.0,112.162,1.0,,,6
16,9.0,111.823,6.0,3021.848,,6
16,10.0,123.438,10.0,,3040.883,6
16,47.0,133.338,5.0,7428.561,,6
16,51.0,106.692,4.0,,,6
18,1.0,124.253,16.0,,,6
22,1.0,117.578,8.0,,,6
22,9.0,111.376,9.0,3029.177,,6
22,10.0,125.319,12.0,,3049.366,6
22,47.0,134.982,6.0,7431.228,,6
22,51.0,105.401,7.0,,,6
3,1.0,120.631,13.0,,,6
3,11.0,112.582,8.0,3252.511,,6
3,12.0,125.143,13.0,,3272.565,6
3,47.0,139.455,9.0,7441.926,,6
3,51.0,106.618,9.0,,,6
31,1.0,120.049,11.0,,,6
31,3.0,130.806,18.0,2400.233,,6
33,1.0,113.236,3.0,,,6
33,12.0,110.389,2.0,3338.279,,6
33,13.0,122.951,3.0,,3358.032,6
4,1.0,120.202,12.0,,,6
4,7.0,112.031,12.0,2817.18,,6
4,8.0,124.045,17.0,,2837.721,6
4,47.0,134.859,7.0,7433.97,,6
4,51.0,106.663,5.0,,,6
44,1.0,112.533,2.0,,,6
44,11.0,111.218,3.0,3230.882,,6
44,12.0,126.683,4.0,,3253.44,6
44,47.0,135.406,2.0,7420.041,,6
44,51.0,111.085,16.0,,,6
47,1.0,125.671,18.0,,,6
47,8.0,113.586,16.0,2940.848,,6
47,9.0,128.615,19.0,,2963.303,6
47,44.0,113.919,17.0,7116.078,,6
47,45.0,126.429,17.0,,7137.64,6
47,51.0,107.769,14.0,,,6
5,1.0,118.358,9.0,,,6
5,18.0,110.359,2.0,3993.91,,6
5,19.0,122.792,7.0,,4013.773,6
5,47.0,133.659,3.0,7422.84,,6
5,51.0,105.138,2.0,,,6
55,1.0,115.799,6.0,,,6
55,10.0,111.542,5.0,3132.067,,6
55,11.0,144.01,15.0,,3152.148,6
55,47.0,135.333,8.0,7436.453,,6
55,51.0,106.175,8.0,,,6
6,1.0,124.905,17.0,,,6
6,9.0,114.357,13.0,3048.113,,6
6,10.0,128.706,17.0,,3070.255,6
6,51.0,107.331,13.0,,,6
63,1.0,128.197,20.0,2167.663,,6
63,2.0,127.33,20.0,,2186.66,6
63,47.0,135.933,14.0,7449.015,,6
7,1.0,121.534,14.0,,,6
7,13.0,114.15,10.0,3479.764,,6
7,14.0,125.079,15.0,,3499.755,6
7,47.0,139.263,11.0,7445.716,,6
7,51.0,106.426,10.0,,,6
77,1.0,119.467,10.0,,,6
77,11.0,112.171,6.0,3249.364,,6
77,12.0,124.342,11.0,,3269.71,6
77,47.0,138.072,13.0,7448.434,,6
77,51.0,106.762,12.0,,,6
9,1.0,126.029,19.0,,,6
9,9.0,117.044,17.0,3058.923,,6
9,10.0,130.548,19.0,,3079.437,6
9,34.0,125.129,18.0,6061.767,,6
9,35.0,131.838,18.0,,6083.668,6
9,44.0,114.527,18.0,7177.531,,6
9,45.0,138.566,18.0,,7202.293,6
9,46.0,142.738,17.0,7458.843,,6
9,51.0,108.123,15.0,,,6
99,1.0,122.391,15.0,,,6
99,2.0,115.997,18.0,2276.858,,6
99,3.0,126.274,19.0,,2297.254,6
99,47.0,140.204,12.0,7447.7,,6
99,51.0,106.651,11.0,,,6
