dID,LapNumber,Speed,Position,PitInTime,PitOutTime,rID
33,1.0,81.986,1.0,,,5
33,34.0,92.339,1.0,4570.012,,5
33,35.0,80.639,1.0,,4593.471,5
33,78.0,76.829,1.0,,,5
55,1.0,84.727,3.0,,,5
55,32.0,93.98,3.0,4427.767,,5
55,33.0,79.941,3.0,,4451.66,5
55,78.0,76.345,2.0,,,5
4,1.0,85.729,4.0,,,5
4,30.0,93.286,6.0,4281.265,,5
4,31.0,79.617,4.0,,4304.129,5
4,78.0,76.101,3.0,,,5
11,1.0,89.638,8.0,,,5
11,35.0,92.675,4.0,4663.911,,5
11,36.0,79.543,4.0,,4688.209,5
11,78.0,75.307,4.0,,,5
5,1.0,88.935,7.0,,,5
5,31.0,92.812,5.0,4362.271,,5
5,32.0,79.635,5.0,,4386.619,5
5,78.0,77.071,5.0,,,5
10,1.0,86.902,5.0,,,5
10,30.0,93.589,7.0,4283.122,,5
10,31.0,81.727,6.0,,4307.287,5
10,78.0,76.12,6.0,,,5
44,1.0,87.982,6.0,,,5
44,29.0,93.051,8.0,4207.703,,5
44,30.0,78.739,8.0,,4231.366,5
44,67.0,91.81,7.0,7127.992,,5
44,68.0,77.137,7.0,,7151.998,5
44,78.0,78.003,7.0,,,5
18,1.0,91.448,11.0,,,5
18,58.0,92.618,8.0,6448.637,,5
18,59.0,78.442,8.0,,6472.413,5
31,1.0,90.963,10.0,,,5
31,37.0,92.516,10.0,4848.031,,5
31,38.0,80.372,10.0,,4871.73,5
99,1.0,90.113,9.0,,,5
99,33.0,95.523,12.0,4542.535,,5
99,34.0,80.718,12.0,,4566.823,5
7,1.0,93.051,12.0,,,5
7,43.0,93.514,11.0,5321.532,,5
7,44.0,81.46,12.0,,5345.372,5
3,1.0,93.662,13.0,,,5
3,36.0,95.412,13.0,4792.275,,5
3,37.0,81.447,13.0,,4816.888,5
14,1.0,94.069,14.0,,,5
14,45.0,94.415,13.0,5494.693,,5
14,46.0,80.632,13.0,,5518.267,5
63,1.0,94.901,15.0,,,5
63,31.0,95.152,16.0,4426.871,,5
63,32.0,82.576,16.0,,4450.542,5
6,1.0,96.04,16.0,,,5
6,43.0,94.2,16.0,5363.882,,5
6,44.0,81.902,16.0,,5387.335,5
22,1.0,96.731,17.0,,,5
22,64.0,94.429,16.0,6969.006,,5
22,65.0,78.804,16.0,,6993.232,5
9,1.0,98.076,19.0,,,5
9,34.0,96.881,17.0,4705.575,,5
9,35.0,82.27,17.0,,4730.525,5
47,1.0,97.443,18.0,,,5
47,37.0,95.956,18.0,4963.663,,5
47,38.0,86.398,18.0,,4988.214,5
77,1.0,83.015,2.0,,,5
