AirTemp,Rainfall,TrackTemp,WindSpeed,rID
20.7,False,36.9,0.1,5
20.8,False,43.4,0.3,5
21.0,False,39.4,0.4,5
20.4,False,33.9,0.3,5
20.9,False,34.4,0.6,5
